"muniYear","IM","POB_TOT"
"05026_2015",-0.819,3304
"05008_2015",-0.773,3077
"05008_1990",-0.482,2966
"05008_2010",-0.81,2901
"05008_1995",-0.46,2843
"05008_2000",-0.709,2784
"05008_2005",-0.693,2778
"05012_1990",-0.797,2374
"05029_2015",-1.077,2360
"05029_2010",-1.11,2314
"05012_1995",-0.759,2144
"05012_2010",-0.79,2091
"05029_2005",-1.081,2063
"05012_2000",-0.857,2050
"05016_1990",-1.279,2006
"05029_2000",-1.111,2006
"05029_1990",-1.118,1990
"05029_1995",-0.806,1955
"05005_1990",-0.836,1888
"05012_2005",-0.694,1877
"05013_2010",-0.887,1852
"05016_2010",-1.124,1835
"05016_1995",-0.891,1832
"05005_2010",-0.646,1808
"05016_2000",-1.223,1781
"05016_2015",-1.012,1773
"05005_2015",-0.647,1720
"05005_1995",-0.747,1713
"05016_2005",-1.054,1708
"05012_2015",-0.673,1697
"05005_2000",-0.682,1677
"05005_2005",-0.538,1672
"05015_1990",-0.43,1668
"05015_2000",-0.56,1610
"05015_2010",-0.862,1599
"05015_1995",-0.224,1588
"05015_2015",-0.958,1574
"05013_2015",-0.796,1565
"05013_2005",-0.746,1516
"05013_2000",-0.773,1441
"05001_1990",-1.356,1409
"05015_2005",-0.733,1393
"05001_1995",-1.352,1290
"05013_1995",-0.341,1271
"05013_1990",-0.258,1220
"05001_2000",-1.205,1126
"05001_2010",-1.096,1070
"05001_2015",-1.184,1015
"05001_2005",-1.041,991
"06007_2015",-1.509,184541
"06007_2010",-1.553,161420
"06002_2015",-1.595,150673
"06002_2010",-1.698,146904
"06007_2005",-1.513,137842
"06010_2015",-1.801,136779
"06002_2005",-1.724,132273
"06002_2000",-1.799,129958
"06007_2000",-1.522,125143
"06009_2015",-0.716,123191
"06002_1995",-1.839,120781
"06010_2010",-1.928,119956
"06002_1990",-2.012,116505
"06009_2010",-0.87,112726
"06007_1995",-1.624,108584
"06010_2005",-1.875,100121
"06009_2000",-0.842,99289
"06009_2005",-0.804,98150
"06007_1990",-1.681,92863
"06009_1995",-0.992,91036
"06009_1990",-1.043,82699
"06010_2000",-1.87,80808
"06010_1995",-1.51,66300
"06010_1990",-1.688,37842
"06005_2015",-1.285,30198
"06001_2015",-0.481,29599
"06001_2010",-0.689,28695
"06001_2000",-0.709,28574
"06001_1995",-0.927,28015
"06001_1990",-0.955,27782
"06005_2010",-1.342,27107
"06005_2000",-1.296,26771
"06005_2005",-1.245,25576
"06005_1995",-1.416,25462
"06001_2005",-0.688,24939
"06005_1990",-1.454,24458
"06003_2015",-0.873,21544
"06003_2010",-0.931,20888
"06004_2015",-0.952,20198
"06003_2005",-0.803,19495
"06004_2010",-0.956,19385
"06003_2000",-0.768,19384
"06004_2000",-0.806,18756
"06003_1995",-0.942,17601
"06004_2005",-0.838,17363
"06004_1995",-1.005,16939
"06003_1990",-0.847,16909
"06004_1990",-1.032,16019
"06008_2015",-0.762,8985
"06008_2000",-0.684,8466
"06008_1995",-1.142,8321
"06008_1990",-0.954,8191
"06008_2010",-0.814,8174
"06008_2005",-0.641,7478
"06006_2015",-0.261,5527
"06006_2000",-0.229,5478
"06006_2010",-0.303,5300
"06006_1990",-0.207,5242
"06006_1995",-0.455,4989
"06006_2005",-0.338,4759
"07101_2015",-1.29,598710
"07101_2010",-1.345,553374
"07101_2005",-1.26,503320
"07101_2000",-1.385,434143
"07101_1995",-1.288,386135
"07089_2015",-0.577,348156
"07089_2010",-0.437,320451
"07101_1990",-1.564,295608
"07089_2005",-0.437,282420
"07089_2000",-0.552,271674
"07089_1995",-0.478,244855
"07089_1990",-0.585,222405
"07059_2015",1.417,218893
"07078_2015",-0.729,209591
"07059_2010",1.256,198877
"07078_2010",-0.529,185917
"07059_2005",1.457,170280
"07078_2005",-0.62,166460
"07059_1995",1.874,154934
"07019_2015",-0.235,153448
"07059_2000",0.98,146696
"07019_2010",-0.399,141013
"07078_2000",-0.734,132421
"07031_2015",2.238,127914
"07052_2015",1.393,122821
"07019_2005",-0.416,121263
"07059_1990",1.38,121012
"07065_2015",0.475,119826
"07078_1995",-0.586,116729
"07031_2010",2.089,111554
"07052_2010",1.219,111484
"07065_2010",0.62,110918
"07019_2000",-0.377,105210
"07108_2015",0.205,104833
"07027_2015",-0.198,100751
"07052_1995",2.175,99320
"07108_2010",0.191,98618
"07052_2005",1.134,98374
"07065_2005",0.604,97991
"07031_2005",2.153,95907
"07019_1995",-0.181,95260
"07108_2005",0.149,93023
"07061_2015",0.379,92103
"07078_1990",-0.689,89335
"07097_2015",-0.028,89178
"07027_2010",-0.148,87603
"07023_2015",1.993,87332
