"muniYear","state","muni","year","Winner2","PAN","PRI","PRD","nulos","noreg","total","win_state","wintop_state","win","win_top","prevyear","difY","inc","inc_top","conco","PRI_ofi","PAN_ofi","PRD_ofi","edo_year","PAN.s","PRI.s","PRD.s","inc.share","inc.share.lag","inc.ch","agua_lag","dren_lag","elec_lag","tot_del_lag","hom_lag","IM","POB_TOT","ch.agua","ch.dren","ch.elec","ch.del","ch.hom","alt","edo.year"
"01004_2004","01",1004,2004,"PAN",2544,1935,1095,128,3,5574,"PAN","PAN","PAN","PAN",2001,3,"PRI","PRI",1,1,0,0,"01_2004",0.456404736275565,0.347147470398278,0.196447793326157,34.7147470398278,49.5483628152051,-14.8336157753773,3022,14,1765,20,NA,-0.751739476288035,13466,0,0,6.68555240793203,NA,NA,1,"01_2004"
"01004_2007","01",1004,2007,"PRI",1750,2501,219,100,5,6006,"PAN","PAN","PRI","PRI",2004,3,"PAN","PAN",0,1,0,0,"01_2007",0.291375291375291,0.416416916416916,0.0364635364635365,29.1375291375291,34.7147470398278,-5.57721790229863,NA,NA,2036,64,2,-0.728376859243566,13105,NA,NA,5.5992141453831,-32.8125,50,1,"01_2007"
"01004_2010","01",1004,2010,"PRI_PVEM_PNA",1378,2810,86,150,4,5530,"PAN","PAN","PRI","PRI",2007,3,"PRI","PRI",0,0,1,0,"01_2010",0.249186256781193,0.508137432188065,0.0155515370705244,50.8137432188065,29.1375291375291,21.6762140812774,3577,17,2989,88,3,-0.648,15042,5.56332121889853,0,2.81030444964872,50,33.3333333333333,0,"01_2010"
"01004_2013","01",1004,2013,"PRI_PVEM",0,3539,0,103,2,7327,"PRI_PVEM_PNA","PRI","PRI","PRI",2010,3,"PRI","PRI",1,1,0,0,"01_2013",0,0.483008052408899,0,48.3008052408899,50.8137432188065,-2.51293797791665,NA,19,3220,NA,NA,-0.789414887490715,12886,NA,0,2.98136645962732,NA,NA,0,"01_2013"
"01005_1995","01",1005,1995,"PRI",5429,6864,238,330,0,13016,"PRI","PRI","PRI","PRI",1992,3,"PRI","PRI",1,1,0,0,"01_1995",0.417102028272895,0.527350952673632,0.0182851874615857,52.7350952673632,67.5716018285288,-14.8365065611655,7717,34,9730,NA,NA,-0.972,54476,8.63029674744073,8.82352941176472,11.7163412127441,NA,NA,0,"01_1995"
"01005_1998","01",1005,1998,"PAN",10793,6609,438,421,2,18182,"PRI","PRI","PAN","PAN",1995,3,"PRI","PRI",0,1,0,0,"01_1998",0.593609063909361,0.363491365086349,0.024089759102409,36.3491365086349,52.7350952673632,-16.3859587587283,9788,29,13900,NA,NA,-1.07013333484952,60060,1.13404168369432,20.6896551724138,-0.172661870503591,NA,NA,1,"01_1998"
"01005_2001","01",1005,2001,"PRI",6036,8583,511,354,1,16478,"PAN","PAN","PRI","PRI",1998,3,"PAN","PAN",0,1,0,0,"01_2001",0.366306590605656,0.520876319941741,0.0310110450297366,36.6306590605656,36.3491365086349,0.281522551930685,10975,34,16148,383,18,-1.15902164735857,67436,0.482915717539881,0,28.932375526381,-44.9086161879896,-88.8888888888889,1,"01_2001"
"01005_2004","01",1005,2004,"PAN",9164,8455,2467,614,9,20086,"PAN","PAN","PAN","PAN",2001,3,"PRI","PRI",1,0,1,0,"01_2004",0.456238175843871,0.420939958179827,0.122821865976302,42.0939958179827,36.6306590605656,5.46333675741707,14732,40,19061,416,NA,-1.21481251295767,78532,15.5036654900896,0,12.6698494307749,NA,NA,1,"01_2004"
"01005_2007","01",1005,2007,"PRI",7339,9980,1385,607,34,20827,"PAN","PAN","PRI","PRI",2004,3,"PAN","PAN",0,1,0,0,"01_2007",0.352379123253469,0.479185672444423,0.066500216065684,35.2379123253469,42.0939958179827,-6.85608349263577,NA,NA,22572,731,12,-1.15128626235219,69069,NA,NA,15.009746588694,2.05198358413133,16.6666666666667,1,"01_2007"
"01005_2010","01",1005,2010,"PRI_PVEM_PNA",10179,13772,868,702,56,26484,"PAN","PAN","PRI","PRI",2007,3,"PRI","PRI",0,0,1,0,"01_2010",0.3843452650657,0.520012082766954,0.0327745053617278,52.0012082766954,35.2379123253469,16.7632959513485,20131,48,30026,1150,24,-1.262,99590,12.4385276439322,0,-0.263105308732453,-2.78260869565219,-12.5,0,"01_2010"
"01005_2013","01",1005,2013,"PAN_PRD",0,10352,0,851,44,29337,"PRI_PVEM_PNA","PRI","PAN","PAN",2010,3,"PRI","PRI",0,1,0,0,"01_2013",0,0.352864982786243,0,35.2864982786243,52.0012082766954,-16.7147099980711,NA,51,33635,NA,NA,-1.13774206458723,71828,NA,0,4.22476586888657,NA,NA,1,"01_2013"
"01006_1995","01",1006,1995,"PRI",3895,4705,389,182,0,9301,"PRI","PRI","PRI","PRI",1992,3,"PRI","PRI",1,1,0,0,"01_1995",0.418772175034942,0.505859584990861,0.0418234598430276,50.5859584990861,57.4794668102868,-6.89350831120068,5022,11,5466,NA,NA,-1.196,31650,18.4986061330147,0,10.2085620197585,NA,NA,0,"01_1995"
"01006_1998","01",1006,1998,"PRI",2527,6804,1948,306,2,11600,"PRI","PRI","PRI","PRI",1995,3,"PRI","PRI",1,1,0,0,"01_1998",0.217844827586207,0.586551724137931,0.167931034482759,58.6551724137931,50.5859584990861,8.06921391470698,6081,10,7306,NA,NA,-1.29243094229362,33212,0.756454530504853,20,-11.3742129756365,NA,NA,0,"01_1998"
"01006_2001","01",1006,2001,"PRI",3881,5278,1263,578,2,11493,"PAN","PAN","PRI","PRI",1998,3,"PRI","PRI",0,1,0,0,"01_2001",0.337683807535021,0.459236056730184,0.109892978334638,45.9236056730184,58.6551724137931,-12.7315667407747,6315,12,8367,178,6,-1.34981775238822,35173,0.680918448139347,0,4.09943826939165,103.370786516854,133.333333333333,0,"01_2001"
