"muniYear","state","muni","year","Winner2","PAN","PRI","PRD","nulos","noreg","total","win_state","wintop_state","win","win_top","prevyear","difY","inc","inc_top","conco","PRI_ofi","PAN_ofi","PRD_ofi","edo_year","PAN.s","PRI.s","PRD.s","inc.share","inc.share.lag","inc.ch","IM","POB_TOT","ch.agua","ch.dren","ch.elec","ch.del","ch.hom","alt"
"01005_1995",1,1005,1995,"PRI",5429,6864,238,330,0,13016,"PRI","PRI","PRI","PRI",1992,3,"PRI","PRI",1,1,0,0,"01_1995",0.417102028272895,0.527350952673632,0.0182851874615857,52.7350952673632,67.5716018285288,-14.8365065611655,-0.972,54476,NA,NA,NA,NA,NA,0
"01005_1998",1,1005,1998,"PAN",10793,6609,438,421,2,18182,"PRI","PRI","PAN","PAN",1995,3,"PRI","PRI",0,1,0,0,"01_1998",0.593609063909361,0.363491365086349,0.024089759102409,36.3491365086349,52.7350952673632,-16.3859587587283,-1.07013333484952,60060,6.63410631681324,-16.5504075189074,13.6334901783201,NA,NA,1
"01005_2001",1,1005,2001,"PRI",6036,8583,511,354,1,16478,"PAN","PAN","PRI","PRI",1998,3,"PAN","PAN",0,1,0,0,"01_2001",0.366306590605656,0.520876319941741,0.0310110450297366,36.6306590605656,36.3491365086349,0.281522551930685,-1.15902164735857,67436,-0.786193011437833,-15.5834361716715,25.1675369139346,NA,NA,1
"01005_2004",1,1005,2004,"PAN",9164,8455,2467,614,9,20086,"PAN","PAN","PAN","PAN",2001,3,"PRI","PRI",1,0,1,0,"01_2004",0.456238175843871,0.420939958179827,0.122821865976302,42.0939958179827,36.6306590605656,5.46333675741707,-1.21481251295767,78532,24.5265615056131,1.01399845779702,-12.8969438995468,NA,NA,1
"01005_2007",1,1005,2007,"PRI",7339,9980,1385,607,34,20827,"PAN","PAN","PRI","PRI",2004,3,"PAN","PAN",0,1,0,0,"01_2007",0.352379123253469,0.479185672444423,0.066500216065684,35.2379123253469,42.0939958179827,-6.85608349263577,-1.15128626235219,69069,14.4872009161962,NA,27.2412519737177,NA,NA,1
"01005_2010",1,1005,2010,"PRI_PVEM_PNA",10179,13772,868,702,56,26484,"PAN","PAN","PRI","PRI",2007,3,"PRI","PRI",0,0,1,0,"01_2010",0.3843452650657,0.520012082766954,0.0327745053617278,52.0012082766954,35.2379123253469,16.7632959513485,-1.262,99590,-11.484612876263,NA,-24.992492842361,3.78792346591986,33.6066666666667,0
"01005_2013",1,1005,2013,"PAN_PRD",0,10352,0,851,44,29337,"PRI_PVEM_PNA","PRI","PAN","PAN",2010,3,"PRI","PRI",0,1,0,0,"01_2013",0,0.352864982786243,0,35.2864982786243,52.0012082766954,-16.7147099980711,-1.13774206458723,71828,NA,32.1188638122183,38.3874754819727,NA,NA,1
"01006_1995",1,1006,1995,"PRI",3895,4705,389,182,0,9301,"PRI","PRI","PRI","PRI",1992,3,"PRI","PRI",1,1,0,0,"01_1995",0.418772175034942,0.505859584990861,0.0418234598430276,50.5859584990861,57.4794668102868,-6.89350831120068,-1.196,31650,NA,NA,NA,NA,NA,0
"01006_1998",1,1006,1998,"PRI",2527,6804,1948,306,2,11600,"PRI","PRI","PRI","PRI",1995,3,"PRI","PRI",1,1,0,0,"01_1998",0.217844827586207,0.586551724137931,0.167931034482759,58.6551724137931,50.5859584990861,8.06921391470698,-1.29243094229362,33212,-1.9209316440761,3.80937335439705,2.37377298761184,NA,NA,0
"01006_2001",1,1006,2001,"PRI",3881,5278,1263,578,2,11493,"PAN","PAN","PRI","PRI",1998,3,"PRI","PRI",0,1,0,0,"01_2001",0.337683807535021,0.459236056730184,0.109892978334638,45.9236056730184,58.6551724137931,-12.7315667407747,-1.34981775238822,35173,-2.05675128054353,-5.90449235216186,21.2707706107637,NA,NA,0
"01006_2004",1,1006,2004,"PAN",4983,4737,3112,316,3,12832,"PAN","PAN","PAN","PAN",2001,3,"PRI","PRI",1,1,0,0,"01_2004",0.388326059850374,0.369155236907731,0.242518703241895,36.9155236907731,45.9236056730184,-9.00808198224529,-1.31681924975067,37942,1.97892585740502,7.53784355694911,12.9221860004199,22.5201374250361,74.7053333333333,1
"01006_2007",1,1006,2007,"PAN_PNA",3754,3090,3584,481,11,12751,"PAN","PAN","PAN","PAN",2004,3,"PAN","PAN",1,1,0,0,"01_2007",0.294408281703396,0.242333934593365,0.281075994039683,29.4408281703396,36.9155236907731,-7.47469552043348,-1.33520698301921,35313,26.5322869177865,NA,10.5915132160784,-6.6086035623751,50.5618,0
"01006_2010",1,1006,2010,"PRI_PVEM_PNA",2731,6442,2540,463,32,13455,"PAN","PAN","PRI","PRI",2007,3,"PAN","PAN",0,0,1,0,"01_2010",0.20297287253809,0.478781122259383,0.188777406168711,20.297287253809,29.4408281703396,-9.14354091653059,-1.245,41862,3.64163187366926,NA,-14.0669864983837,-13.1454541668364,51.6976923076923,1
